cell_subtype,n_cells,gene,detected_cells,pct_detected,mean_counts_per_cell,mean_counts_among_detected
In.Rosehip.LAMP5_PMEPA1,1829,TLE4,117,6.396938217605248,0.08669430682933642,1.3552468990671478
In.SOM.SST_ADAMTS19,3191,VAT1L,957,29.99059855844563,0.5098033774838652,1.6998773015162105
In.SOM.SST_ADAMTS19,3191,EYA4,436,13.663428392353493,0.3211212971500563,2.350224906435389
In.SOM.SST_ADAMTS19,3191,THSD4,397,12.441240990285177,0.31264732443021626,2.512991466641864
In.SOM.SST_ADAMTS19,3191,POU3F1,96,3.0084612973989344,0.028979009325272247,0.9632501953848305
In.SOM.SST_ADAMTS19,3191,FEZF2,4,0.12535255405828893,0.0007901720194007775,0.6303597284769703
In.SOM.SST_ADAMTS19,3191,BCL11B,1356,42.49451582575995,0.7527007078343246,1.7712890550880014
In.SOM.SST_ADAMTS19,3191,PCP4,116,3.635224067690379,0.03343721267720149,0.9198116004564653
In.SOM.SST_ADAMTS19,3191,TLE4,862,27.013475399561266,0.44736423322777,1.6560780373895758
Vasc.Endo.Venous,782,VAT1L,7,0.8951406649616368,0.009733353730475156,1.0873546596045103
Vasc.Endo.Venous,782,EYA4,20,2.557544757033248,0.028967360966605567,1.132623813794278
Vasc.Endo.Venous,782,THSD4,642,82.09718670076727,3.472167156047082,4.229337563907816
Vasc.Endo.Venous,782,POU3F1,2,0.2557544757033248,0.002428591420538013,0.9495792454303631
Vasc.Endo.Venous,782,FEZF2,4,0.5115089514066496,0.0038885503080143455,0.7602115852168045
Vasc.Endo.Venous,782,BCL11B,12,1.5345268542199488,0.04117039435159171,2.6829373652453934
Vasc.Endo.Venous,782,PCP4,10,1.278772378516624,0.012545930060973832,0.9810917307681537
Vasc.Endo.Venous,782,TLE4,207,26.47058823529412,0.5469745230685268,2.0663481982588787
Vasc.Mural.Pericyte,610,VAT1L,19,3.114754098360656,0.04496690504348428,1.4436743198171273
Vasc.Mural.Pericyte,610,EYA4,13,2.1311475409836063,0.02243378622658349,1.0526622767858405
Vasc.Mural.Pericyte,610,THSD4,112,18.360655737704917,0.5268183463432319,2.8692784934765307
